epoch,acc,loss,val_acc,val_loss
0,0.031710351603824356,1045.7787994350786,0.04516938519541413,656.3954112768871
1,0.04367099856733821,614.3078678156669,0.04433291510420582,462.18970621540575
2,0.05575710685981982,343.6945608011153,0.051693851950713555,473.1315935990841
3,0.06790594582036855,211.23556278562222,0.06030949393652663,403.64370684398364
4,0.08281493407896733,149.23613475426376,0.05662902551919334,373.5198881793052
5,0.10007632230953815,122.09600367442336,0.07176913426030584,502.7374833180784
6,0.09787029389223492,130.79679767607405,0.06741948976009673,378.16262358151334
7,0.10700806088994318,87.2972621319279,0.07603513175588131,373.71129401831985
8,0.12325530335255241,71.64661604157119,0.08690924300141835,364.16081533013204
9,0.12260708647204181,85.48449042741606,0.09435382685162491,371.95017559286043
